date,mediacount,username,month,year
2022-07-01,536,ozthementalist,7,2022
2022-06-01,536,ozthementalist,6,2022
2022-05-01,533,ozthementalist,5,2022
2022-04-01,527,ozthementalist,4,2022
2022-03-01,523,ozthementalist,3,2022
2022-02-01,520,ozthementalist,2,2022
2022-01-01,518,ozthementalist,1,2022
2021-12-01,517,ozthementalist,12,2021
2021-11-01,516,ozthementalist,11,2021
2021-10-01,515,ozthementalist,10,2021
2021-09-01,515,ozthementalist,9,2021
2021-08-01,515,ozthementalist,8,2021
2021-07-01,514,ozthementalist,7,2021
2021-06-01,514,ozthementalist,6,2021
2021-05-01,514,ozthementalist,5,2021
2021-04-02,513,ozthementalist,4,2021
2021-03-01,513,ozthementalist,3,2021
2021-02-01,512,ozthementalist,2,2021
2021-01-01,511,ozthementalist,1,2021
2020-12-01,511,ozthementalist,12,2020
2020-11-01,512,ozthementalist,11,2020
2020-10-01,509,ozthementalist,10,2020
2020-09-01,508,ozthementalist,9,2020
2020-08-01,506,ozthementalist,8,2020
2020-07-01,503,ozthementalist,7,2020
2020-06-01,498,ozthementalist,6,2020
2020-05-01,494,ozthementalist,5,2020
2020-04-01,492,ozthementalist,4,2020
2020-03-01,492,ozthementalist,3,2020
2020-02-01,489,ozthementalist,2,2020
2020-01-01,482,ozthementalist,1,2020
2019-12-01,481,ozthementalist,12,2019
2019-11-01,478,ozthementalist,11,2019
2019-10-01,477,ozthementalist,10,2019
2019-09-01,477,ozthementalist,9,2019
2019-08-01,474,ozthementalist,8,2019
2019-07-01,472,ozthementalist,7,2019
2019-06-01,471,ozthementalist,6,2019
2019-05-01,463,ozthementalist,5,2019
2019-04-01,461,ozthementalist,4,2019
2019-03-02,460,ozthementalist,3,2019
2019-02-01,457,ozthementalist,2,2019
2019-01-01,454,ozthementalist,1,2019
2022-12-01,2356,krista.horton,12,2022
2022-11-01,2353,krista.horton,11,2022
2022-10-01,2350,krista.horton,10,2022
2022-09-01,2348,krista.horton,9,2022
2022-08-01,2345,krista.horton,8,2022
2022-07-01,2342,krista.horton,7,2022
2022-06-01,2340,krista.horton,6,2022
2022-05-01,2335,krista.horton,5,2022
2022-04-01,2328,krista.horton,4,2022
2022-03-01,2324,krista.horton,3,2022
2022-02-01,2318,krista.horton,2,2022
2022-01-01,2314,krista.horton,1,2022
2021-12-01,2307,krista.horton,12,2021
2021-11-01,2302,krista.horton,11,2021
2021-10-01,2294,krista.horton,10,2021
2021-09-01,2286,krista.horton,9,2021
2021-08-01,2277,krista.horton,8,2021
2021-07-01,2270,krista.horton,7,2021
2021-06-01,2263,krista.horton,6,2021
2021-05-01,2257,krista.horton,5,2021
2021-04-01,2246,krista.horton,4,2021
2021-03-01,2235,krista.horton,3,2021
2021-02-01,2226,krista.horton,2,2021
2021-01-01,2218,krista.horton,1,2021
2020-12-01,2206,krista.horton,12,2020
2020-11-01,2190,krista.horton,11,2020
2020-10-01,2174,krista.horton,10,2020
2020-09-01,2156,krista.horton,9,2020
2020-08-01,2140,krista.horton,8,2020
2020-07-01,2126,krista.horton,7,2020
2020-06-01,2111,krista.horton,6,2020
2020-05-01,2093,krista.horton,5,2020
2020-04-01,2074,krista.horton,4,2020
2020-03-01,2055,krista.horton,3,2020
2020-02-01,2037,krista.horton,2,2020
2020-01-01,2010,krista.horton,1,2020
2019-12-01,1989,krista.horton,12,2019
2019-11-01,1978,krista.horton,11,2019
2019-10-01,1954,krista.horton,10,2019
2019-09-01,1930,krista.horton,9,2019
2019-08-20,1921,krista.horton,8,2019
2019-04-01,1813,krista.horton,4,2019
2019-03-01,1791,krista.horton,3,2019
2019-02-01,1774,krista.horton,2,2019
2019-01-01,1748,krista.horton,1,2019
2022-12-01,2473,witneycarson,12,2022
2022-11-01,2462,witneycarson,11,2022
2022-10-01,2456,witneycarson,10,2022
2022-09-01,2445,witneycarson,9,2022
2022-08-01,2432,witneycarson,8,2022
2022-07-01,2404,witneycarson,7,2022
2022-06-01,2383,witneycarson,6,2022
2022-05-01,2362,witneycarson,5,2022
2022-04-01,2346,witneycarson,4,2022
2022-03-01,2330,witneycarson,3,2022
2022-02-01,2316,witneycarson,2,2022
2022-01-01,2297,witneycarson,1,2022
2021-12-01,2277,witneycarson,12,2021
2021-11-01,2261,witneycarson,11,2021
2021-10-01,2237,witneycarson,10,2021
2021-09-01,2209,witneycarson,9,2021
2021-08-01,2187,witneycarson,8,2021
2021-07-01,2160,witneycarson,7,2021
2021-06-01,2136,witneycarson,6,2021
2021-05-01,2112,witneycarson,5,2021
2021-04-01,2087,witneycarson,4,2021
2021-03-01,2076,witneycarson,3,2021
2021-02-01,2062,witneycarson,2,2021
2021-01-01,2048,witneycarson,1,2021
2020-12-01,2036,witneycarson,12,2020
2020-11-01,2026,witneycarson,11,2020
2020-10-01,2016,witneycarson,10,2020
2020-09-01,2006,witneycarson,9,2020
2020-08-01,1997,witneycarson,8,2020
2020-07-01,1992,witneycarson,7,2020
2020-06-01,1987,witneycarson,6,2020
2020-05-01,1984,witneycarson,5,2020
2020-04-01,1975,witneycarson,4,2020
2020-03-01,1967,witneycarson,3,2020
2020-02-01,1962,witneycarson,2,2020
2020-01-01,1950,witneycarson,1,2020
2019-12-01,1945,witneycarson,12,2019
2019-11-01,1935,witneycarson,11,2019
2019-10-01,1925,witneycarson,10,2019
2019-09-01,1917,witneycarson,9,2019
2019-08-01,1909,witneycarson,8,2019
2019-07-01,1893,witneycarson,7,2019
2019-06-01,1874,witneycarson,6,2019
2019-05-02,1864,witneycarson,5,2019
