date,followees,username,month,year
2022-01-01,1188,krista.horton,1,2022
2021-12-01,1159,krista.horton,12,2021
2021-11-01,1149,krista.horton,11,2021
2021-10-01,1115,krista.horton,10,2021
2021-09-01,1084,krista.horton,9,2021
2021-08-01,1061,krista.horton,8,2021
2021-07-01,1037,krista.horton,7,2021
2021-06-01,1008,krista.horton,6,2021
2021-05-01,1003,krista.horton,5,2021
2021-04-01,991,krista.horton,4,2021
2021-03-01,980,krista.horton,3,2021
2021-02-01,967,krista.horton,2,2021
2021-01-01,955,krista.horton,1,2021
2020-12-01,944,krista.horton,12,2020
2020-11-01,940,krista.horton,11,2020
2020-10-01,932,krista.horton,10,2020
2020-09-01,923,krista.horton,9,2020
2020-08-01,924,krista.horton,8,2020
2020-07-01,922,krista.horton,7,2020
2020-06-01,923,krista.horton,6,2020
2020-05-01,917,krista.horton,5,2020
2020-04-01,908,krista.horton,4,2020
2020-03-01,898,krista.horton,3,2020
2020-02-01,891,krista.horton,2,2020
2020-01-01,886,krista.horton,1,2020
2019-12-01,896,krista.horton,12,2019
2019-11-01,890,krista.horton,11,2019
2019-10-01,882,krista.horton,10,2019
2019-09-01,870,krista.horton,9,2019
2019-08-20,869,krista.horton,8,2019
2019-04-01,860,krista.horton,4,2019
2019-03-01,849,krista.horton,3,2019
2019-02-01,852,krista.horton,2,2019
2019-01-01,847,krista.horton,1,2019
2022-12-01,1002,witneycarson,12,2022
2022-11-01,1002,witneycarson,11,2022
2022-10-01,996,witneycarson,10,2022
2022-09-01,984,witneycarson,9,2022
2022-08-01,979,witneycarson,8,2022
2022-07-01,972,witneycarson,7,2022
2022-06-01,974,witneycarson,6,2022
2022-05-01,971,witneycarson,5,2022
2022-04-01,963,witneycarson,4,2022
2022-03-01,960,witneycarson,3,2022
2022-02-01,950,witneycarson,2,2022
2022-01-01,942,witneycarson,1,2022
2021-12-01,936,witneycarson,12,2021
2021-11-01,935,witneycarson,11,2021
2021-10-01,932,witneycarson,10,2021
2021-09-01,921,witneycarson,9,2021
2021-08-01,918,witneycarson,8,2021
2021-07-01,896,witneycarson,7,2021
2021-06-01,890,witneycarson,6,2021
2021-05-01,887,witneycarson,5,2021
2021-04-01,882,witneycarson,4,2021
2021-03-01,879,witneycarson,3,2021
2021-02-01,872,witneycarson,2,2021
2021-01-01,870,witneycarson,1,2021
2020-12-01,869,witneycarson,12,2020
2020-11-01,868,witneycarson,11,2020
2020-10-01,869,witneycarson,10,2020
2020-09-01,863,witneycarson,9,2020
2020-08-01,860,witneycarson,8,2020
2020-07-01,857,witneycarson,7,2020
2020-06-01,853,witneycarson,6,2020
2020-05-01,853,witneycarson,5,2020
2020-04-01,854,witneycarson,4,2020
2020-03-01,847,witneycarson,3,2020
2020-02-01,833,witneycarson,2,2020
2020-01-01,830,witneycarson,1,2020
2019-12-01,823,witneycarson,12,2019
2019-11-01,822,witneycarson,11,2019
2019-10-01,818,witneycarson,10,2019
2019-09-01,807,witneycarson,9,2019
2019-08-01,801,witneycarson,8,2019
2019-07-01,801,witneycarson,7,2019
2019-06-01,785,witneycarson,6,2019
2019-05-02,778,witneycarson,5,2019
2019-04-01,769,witneycarson,4,2019
2019-03-01,756,witneycarson,3,2019
2019-02-01,751,witneycarson,2,2019
2019-01-01,745,witneycarson,1,2019
2022-12-01,1376,myaplanet9,12,2022
2022-11-01,1377,myaplanet9,11,2022
2022-10-01,1369,myaplanet9,10,2022
2022-09-01,1363,myaplanet9,9,2022
2022-08-01,1369,myaplanet9,8,2022
2022-07-01,1360,myaplanet9,7,2022
2022-06-01,1351,myaplanet9,6,2022
2022-05-01,1355,myaplanet9,5,2022
2022-04-01,1357,myaplanet9,4,2022
2022-03-01,1355,myaplanet9,3,2022
2022-02-01,1352,myaplanet9,2,2022
2022-01-01,1353,myaplanet9,1,2022
2021-12-01,1341,myaplanet9,12,2021
2021-11-01,1344,myaplanet9,11,2021
2021-10-01,1340,myaplanet9,10,2021
2021-09-02,1337,myaplanet9,9,2021
2021-08-01,1342,myaplanet9,8,2021
2021-07-01,1339,myaplanet9,7,2021
2021-06-01,1325,myaplanet9,6,2021
2021-05-01,1316,myaplanet9,5,2021
2021-04-01,1313,myaplanet9,4,2021
2021-03-01,1302,myaplanet9,3,2021
2021-02-01,1300,myaplanet9,2,2021
2021-01-01,1298,myaplanet9,1,2021
2020-12-01,1301,myaplanet9,12,2020
2020-11-01,1289,myaplanet9,11,2020
2020-10-01,1282,myaplanet9,10,2020
